Date,CP
01-Jan-24,2916.9
02-Jan-24,2932.05
03-Jan-24,3003.95
04-Jan-24,2998.6
05-Jan-24,3006.7
08-Jan-24,2963.55
09-Jan-24,3014.9
10-Jan-24,3099.15
11-Jan-24,3080.45
12-Jan-24,3104.25
15-Jan-24,3089.5
16-Jan-24,3057.3
17-Jan-24,2970.75
18-Jan-24,2918.55
19-Jan-24,2915.95
20-Jan-24,2987.95
23-Jan-24,2897.25
24-Jan-24,2902.5
25-Jan-24,2894.55
29-Jan-24,3064.2
30-Jan-24,3091.55
31-Jan-24,3141.1
01-Feb-24,3152.25
02-Feb-24,3155.8
05-Feb-24,3172.8
06-Feb-24,3204.45
07-Feb-24,3229.1
08-Feb-24,3168.65
09-Feb-24,3213.95
12-Feb-24,3168.1
13-Feb-24,3178.85
14-Feb-24,3208.65
15-Feb-24,3194.15
16-Feb-24,3223
19-Feb-24,3258.2
20-Feb-24,3228.65
21-Feb-24,3223.45
22-Feb-24,3263.1
23-Feb-24,3266.15
26-Feb-24,3327.55
27-Feb-24,3300.45
28-Feb-24,3216.95
29-Feb-24,3290.35
01-Mar-24,3317.8
02-Mar-24,3333.95
04-Mar-24,3316.3
05-Mar-24,3308.7
06-Mar-24,3233.4
07-Mar-24,3226.25
11-Mar-24,3207
12-Mar-24,3120.65
13-Mar-24,2904.95
14-Mar-24,3087.7
15-Mar-24,3132.5
18-Mar-24,3110.4
19-Mar-24,3052.5
20-Mar-24,3051.25
21-Mar-24,3065.5
22-Mar-24,3105.45
26-Mar-24,3106.6
27-Mar-24,3122.25
28-Mar-24,3193.55
01-Apr-24,3251.05
02-Apr-24,3267.65
03-Apr-24,3235.4
04-Apr-24,3211.1
05-Apr-24,3221.85
08-Apr-24,3224.05
09-Apr-24,3197.05
10-Apr-24,3242.15
12-Apr-24,3208.75
15-Apr-24,3148.6
16-Apr-24,3105.95
18-Apr-24,3020
19-Apr-24,3025.7
22-Apr-24,3064.6
23-Apr-24,3063.25
24-Apr-24,3042.85
25-Apr-24,3116.4
26-Apr-24,3079.9
29-Apr-24,3079.55
30-Apr-24,3054.3
02-May-24,3037.15
03-May-24,2993.3
06-May-24,2875.15
07-May-24,2835.4
08-May-24,2860.1
09-May-24,2766.75
10-May-24,2799.2
13-May-24,2880.5
14-May-24,3037.05
15-May-24,3052.6
16-May-24,3040.9
17-May-24,3060.25
18-May-24,3060.45
21-May-24,3115.75
22-May-24,3139.6
23-May-24,3391.2
24-May-24,3384.65
27-May-24,3288.1
28-May-24,3244.35
29-May-24,3259.2
30-May-24,3193.1
31-May-24,3411.45
03-Jun-24,3645.35
04-Jun-24,2939.95
05-Jun-24,3117.05
06-Jun-24,3183.35
07-Jun-24,3218.7
10-Jun-24,3218.45
11-Jun-24,3221.95
12-Jun-24,3215.65
13-Jun-24,3224
14-Jun-24,3263.5
18-Jun-24,3307.9
19-Jun-24,3260.55
20-Jun-24,3258.25
21-Jun-24,3187.95
24-Jun-24,3194.5
25-Jun-24,3169.4
26-Jun-24,3169.35
27-Jun-24,3174.85
28-Jun-24,3175.55
01-Jul-24,3182.85
02-Jul-24,3150.6
03-Jul-24,3189.65
04-Jul-24,3144.95
05-Jul-24,3147.55
08-Jul-24,3112.5
09-Jul-24,3108.9
10-Jul-24,3097.6
11-Jul-24,3077.95
12-Jul-24,3063.95
15-Jul-24,3090.1
16-Jul-24,3110
18-Jul-24,3090.55
19-Jul-24,3006.05
22-Jul-24,3000.15
23-Jul-24,2986.15
24-Jul-24,2968.85
25-Jul-24,2975.5
26-Jul-24,3081.35
29-Jul-24,3088.75
30-Jul-24,3128.55
31-Jul-24,3169.1
01-Aug-24,3218.75
02-Aug-24,3160.65
05-Aug-24,3035.95
06-Aug-24,3074.9
07-Aug-24,3185.25
08-Aug-24,3165.7
09-Aug-24,3186.8
12-Aug-24,3152
13-Aug-24,3091.4
14-Aug-24,3039.3
16-Aug-24,3108.05
19-Aug-24,3102.1
20-Aug-24,3071.2
21-Aug-24,3115.55
22-Aug-24,3099.6
23-Aug-24,3075.95
26-Aug-24,3068.9
27-Aug-24,3066.95
28-Aug-24,3022.75
29-Aug-24,3021.75
30-Aug-24,3019.9
02-Sep-24,3043.9
03-Sep-24,3036.55
04-Sep-24,3012.5
05-Sep-24,3014.85
06-Sep-24,2976.85
09-Sep-24,2964.65
10-Sep-24,2985.85
11-Sep-24,2937.35
12-Sep-24,2991.4
13-Sep-24,2968.6
16-Sep-24,2984.55
17-Sep-24,2974.7
18-Sep-24,2954.1
19-Sep-24,2942.35
20-Sep-24,3008.45
23-Sep-24,3044
24-Sep-24,3092.4
25-Sep-24,3104.75
26-Sep-24,3121.15
27-Sep-24,3131.15
30-Sep-24,3134.75
01-Oct-24,3184.8
